model_id,model_make_id,model_name,model_trim,model_year,model_body_style,model_engine_position,model_engine_cc,model_engine_num_cyl,model_engine_type,mode_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display
13589,ford,Sierra,Wagon,1992,Station Wagon,Front,1597,4,in-line,,75,5300,122,2900,,,,Gasoline,,,Rear,Manual,5,,1010,4500,1680,1400,2620,,,,,0,,Ford
13590,ford,Mondeo,1.8 SCi Ambiente,2005,Station Wagon,Front,1753,4,in-line,4,134,6000,174,4250,83,83.1,11.0:1,Gasoline - Premium,207,10.6,Front,Manual,5,5,1395,4740,1820,1420,2760,,7.2,,59,0,,Ford
13591,ford,Thunderbird,Hardtop,1979,,Front,5731,8,V,,137,3200,386,1400,101.6,88.8,8.3:1,,170,,Rear,Automatic,5,2,1813,5520,2000,1350,2900,,,,80,1,,Ford
13592,ford,Escort,1300 GT,1968,Sedan,Front,1296,4,in-line,,76,6000,101,4300,81,63,9.2:1,,153,,Rear,Manual,5,4,830,4020,1560,1370,2370,,,,40,1,,Ford
13593,ford,Ka,,2000,Hatchback,Front,1299,4,in-line,2,60,5000,105,2500,74.1,75.5,9.5:1,Gasoline,,,Front,Manual,4,3,880,3630,1640,1380,2460,,,,40,0,,Ford
13594,ford,Galaxie,5.8,1959,,Front,5764,8,V,2,,,,,,,,Gasoline,,,Rear,Automatic,,,1845,,,,3000,,,,,1,,Ford
13595,ford,Econovan,,2002,Van,Front,1789,4,in-line,2,91,5500,138,2500,,,,Gasoline,,,Rear,Manual,5,,1295,4290,1640,1870,2210,,,,,1,,Ford
13596,ford,F-150,SuperCab,2009,Pickup,Front,5408,8,V,3,315,5000,495,3500,,,,,,,Rear,Automatic,6,4,966,5590,2010,1900,3370,11.8,14.7,16.8,98,1,,Ford
13597,ford,Focus,1.6 16V Trend,2006,Sedan,Front,1596,4,in-line,4,100,6000,145,4000,,,11.0:1,Gasoline - Premium,180,10.4,Front,Manual,5,4,1175,4390,1710,1490,2620,,6.9,,55,1,,Ford
13598,ford,Cortina,,1970,,Front,1098,4,in-line,,45,5300,73,2800,,,,Gasoline,,,Rear,,,,860,4280,1660,1400,2500,,,,,1,,Ford
13599,ford,Bronco,,1984,SUV,Front,4917,6,in-line,,,,,,,,,Gasoline,,,,,,,2000,4520,1970,,2670,,,,,1,,Ford
13600,ford,E-150,Wagon XL,2007,Van,Front,4605,8,V,2,228,4800,388,3500,90,90,,Gasoline,,,,Automatic,8,4,,5390,2020,2060,3510,13.1,14.7,16.8,132,1,,Ford
13601,ford,Taurus,Wagon,2003,Station Wagon,Front,2967,6,V,2,157,4900,244,3950,88.9,78.7,10.0:1,Gasoline,,,Front,Automatic,5,5,1585,5030,1860,1470,2730,,,,68,1,,Ford
13602,ford,Focus,ZX4 S,2006,,Front,1983,4,in-line,4,138,6000,180,4500,85,88,9.6:1,,,,Front,,5,2,2856,4460,1700,1450,2620,7.1,8.3,9.2,53,1,,Ford
13603,ford,Probe,2.5,1994,Coupe,Front,2497,6,V,4,163,5500,212,4800,,,,Gasoline,,,Front,Manual,4,2,1295,4590,1790,1320,,,,,,1,,Ford
13604,ford,Escort,Cabriolet,1988,Convertible,Front,1595,4,in-line,2,,,,,,,,Gasoline,,,Front,Manual,5,,,4070,1650,1320,2410,,,,,1,,Ford
13605,ford,Sierra,,1988,,Front,1597,4,in-line,,75,4900,123,2900,,,,Gasoline,,,Rear,Manual,5,4,1015,4430,1700,1370,2620,,,,,0,,Ford
13606,ford,Probe,,1996,Coupe,Front,1991,4,in-line,4,120,5500,170,4500,83,92,9.0:1,Gasoline,,,Front,Manual,4,2,1230,4590,1780,1320,2620,,,,58,1,,Ford
13607,ford,12 M,1500,1958,,Front,1498,4,in-line,2,54,4250,,,,,,Gasoline,,,Rear,Manual,5,,895,4070,1590,1560,2500,,,,,1,,Ford
13608,ford,Fusion,1.4 TDCi Ambiente,2004,Sedan,Front,1397,4,in-line,2,68,4000,160,2000,,,18.0:1,Diesel,158,15.5,Front,Manual,5,4,1177,4020,1730,1500,2500,,4.4,,45,1,,Ford
13609,ford,Fiesta,1.6,1984,,Front,1598,4,in-line,,97,5750,132,4000,80.1,79.5,,Gasoline,,,Front,Manual,,,850,3650,1590,1340,2300,,,,,0,,Ford
13610,ford,Mustang,4.6,1994,Coupe,Front,4601,8,V,4,321,5300,415,4800,90.2,90,,Gasoline,,,Rear,Manual,4,2,1670,4660,1860,1360,2580,,,,59,1,,Ford
